Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Depth (mm)
Issued:,15 March 2017
Location
Requested coordinate:,Latitude,-30.0,Longitude,150.0
Nearest grid cell:,Latitude,29.9875(S),Longitude,150.0125(E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%#,20%*,10%,5%,2%,1%
1 min,1,1.96,2.22,3.06,3.64,4.23,5.04,5.67
2 min,2,3.32,3.77,5.24,6.29,7.34,8.67,9.70
3 min,3,4.62,5.24,7.25,8.69,10.1,12.0,13.4
4 min,4,5.79,6.56,9.06,10.8,12.6,14.9,16.7
5 min,5,6.83,7.74,10.7,12.7,14.8,17.5,19.7
10 min,10,10.7,12.1,16.7,19.9,23.1,27.5,31.0
15 min,15,13.3,15.1,20.8,24.7,28.8,34.3,38.7
30 min,30,17.9,20.3,28.1,33.5,39.1,46.6,52.7
1 hour,60,22.7,25.7,35.4,42.4,49.4,58.9,66.4
2 hour,120,27.9,31.5,43.1,51.4,59.7,70.9,79.9
3 hour,180,31.4,35.3,48.1,57.1,66.1,78.5,88.3
6 hour,360,38.7,43.3,58.2,68.6,79.2,93.9,106
12 hour,720,47.8,53.4,71.4,84.1,96.9,115,130
24 hour,1440,58.6,65.6,88.6,105,122,146,165
48 hour,2880,70.0,79.0,109,131,154,186,212
72 hour,4320,76.4,86.6,121,147,174,211,242
96 hour,5760,80.7,91.8,129,157,186,227,260
120 hour,7200,84.0,95.7,134,163,193,235,270
144 hour,8640,86.8,98.8,138,166,196,239,275
168 hour,10080,89.3,101,140,167,196,240,275
