Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)



IFD Design Rainfall Depth (mm)

Issued:,17 September 2019

Location Label:,

Requested coordinate:,Latitude,-27.722435918973442,Longitude,153.33618164062503

Nearest grid cell:,Latitude,27.7125 (S),Longitude,153.3375 (E)



,,Annual Exceedance Probability (AEP)

Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%

1 min,1,2.70,3.06,4.17,4.92,5.64,6.60,7.32

2 min,2,4.53,5.13,7.11,8.51,9.93,11.9,13.6

3 min,3,6.36,7.21,9.95,11.9,13.8,16.5,18.7

4 min,4,8.07,9.15,12.6,14.9,17.3,20.5,23.0

5 min,5,9.64,10.9,15.0,17.7,20.4,24.1,26.9

10 min,10,15.8,17.8,24.2,28.5,32.6,37.9,41.9

15 min,15,20.1,22.7,30.8,36.1,41.3,47.9,52.9

20 min,20,23.3,26.3,35.8,42.1,48.1,56.0,61.8

25 min,25,25.9,29.3,39.8,46.9,53.8,62.7,69.5

30 min,30,28.1,31.8,43.3,51.1,58.6,68.6,76.2

45 min,45,33.0,37.4,51.3,60.8,70.2,82.9,92.8

1 hour,60,36.7,41.6,57.3,68.3,79.3,94.2,106

1.5 hour,90,42.2,47.9,66.6,79.9,93.4,112,127

2 hour,120,46.5,52.9,74.0,89.1,105,126,144

3 hour,180,53.3,60.9,85.8,104,123,150,171

4.5 hour,270,61.5,70.4,100,122,145,177,203

6 hour,360,68.3,78.3,112,137,163,199,229

9 hour,540,79.7,91.7,132,162,193,236,272

12 hour,720,89.1,103,149,182,218,267,307

18 hour,1080,105,121,176,216,258,316,363

24 hour,1440,117,136,198,243,291,356,408

30 hour,1800,127,148,216,266,318,389,446

36 hour,2160,136,158,231,285,341,417,479

48 hour,2880,150,174,255,315,378,463,531

72 hour,4320,168,195,287,356,428,525,604

96 hour,5760,179,208,306,380,458,563,648

120 hour,7200,186,216,317,394,477,586,674

144 hour,8640,190,220,323,402,487,598,688

168 hour,10080,193,222,325,405,492,602,692


